ym:s:clientID,ym:s:visitID,ym:s:watchIDs,ym:s:date,ym:s:dateTime,ym:s:isNewUser,ym:s:startURL,ym:s:endURL,ym:s:pageViews,ym:s:visitDuration,ym:s:regionCountry,ym:s:regionCity,ym:s:<attribution>TrafficSource,ym:s:<attribution>AdvEngine,ym:s:<attribution>ReferalSource,ym:s:<attribution>SearchEngineRoot,ym:s:<attribution>SearchEngine,ym:s:<attribution>SocialNetwork,ym:s:referer,ym:s:<attribution>DirectClickOrder,ym:s:<attribution>DirectBannerGroup,ym:s:<attribution>DirectClickBanner,ym:s:<attribution>DirectClickOrderName,ym:s:<attribution>ClickBannerGroupName,ym:s:<attribution>DirectClickBannerName,ym:s:<attribution>DirectPlatformType,ym:s:<attribution>DirectPlatform,ym:s:<attribution>DirectConditionType,ym:s:<attribution>UTMCampaign,ym:s:<attribution>UTMContent,ym:s:<attribution>UTMMedium,ym:s:<attribution>UTMSource,ym:s:<attribution>UTMTerm,ym:s:deviceCategory,ym:s:mobilePhone,ym:s:mobilePhoneModel,ym:s:browser,ym:s:screenFormat,ym:s:screenOrientation,ym:s:physicalScreenWidth,ym:s:physicalScreenHeight,ym:s:<attribution>Messenger,ym:s:<attribution>RecommendationSystem
1749413946444041589,3167419502322778419,"[3167419502322778419,3167571039036375213]",2025-06-08,2025-06-08 23:19:06,1,https://profi-filter.ru/blog/filtry-m5-f5-i-f7-v-chyom-otlichie,https://profi-filter.ru/blog/filtry-m5-f5-i-f7-v-chyom-otlichie,1,578,Russia,Istra,organic,ya_undefined,,yandex,yandex_search,,https://yandex.ru/,,0,0,0,,0,,,,,,,,,2,apple,iPhone,chromemobile,9:21,1,1290,2796,,
1749387908244775755,3160593763250471030,[3160593763250471030],2025-06-08,2025-06-08 16:05:08,1,https://profi-filter.ru/blog/instrukciya-po-ustanovke-i-zamene-hepa-filtrov,https://profi-filter.ru/blog/instrukciya-po-ustanovke-i-zamene-hepa-filtrov,1,0,Uzbekistan,,organic,ya_undefined,,google,google_search,,https://google.com/,,0,0,0,,0,,,,,,,,,2,apple,iPhone,chromemobile,9:21,1,1320,2868,,
1749408551485011220,3166005111944642592,"[3166005111944642592,3166010203662188707,3166010918567149741,3166012955918860435,3166013104741941436,3166030480129392758,3166030603680481493,3166033996513804459,3166034202192511214,3166009011601145870]",2025-06-08,2025-06-08 21:49:11,1,https://profi-filter.ru/,https://profi-filter.ru/kompaniya,4,111,Russia,,organic,ya_undefined,,yandex,yandex_search,,https://yandex.ru/,,0,0,0,,0,,,,,,,,,2,apple,iPhone,safari_mobile,9:21,1,1180,2556,,
1749390096162771844,3161167159148937526,[3161167159148937526],2025-06-08,2025-06-08 16:41:35,1,https://profi-filter.ru/blog/klass-ochistki-filtrov-f7,https://profi-filter.ru/blog/klass-ochistki-filtrov-f7,1,0,Russia,Yekaterinburg,organic,ya_undefined,,google,google_search,,https://google.com/,,0,0,0,,0,,,,,,,,,1,,,chrome,16:9,2,1707,960,,
174826949727223602,3151828118250717291,"[3151828118250717291,3151859884332417353]",2025-06-08,2025-06-08 06:47:49,0,https://profi-filter.ru/hepa-filtry,https://profi-filter.ru/hepa-filtry,1,122,,,ad,ya_undefined,,,,,,,0,0,0,,0,,,,HEPA_VIGODNOE_PREDLOGENIE_RSYA,12241013299,cpc,yandex_rsya,---autotargeting,2,tecno,tecno kg5h,chromemobile,9:21,1,720,1600,,
1749351349112183811,3151010301106716704,"[3151010301106716704,3151016988538831107]",2025-06-08,2025-06-08 05:55:50,1,https://profi-filter.ru/hepa-filtry,https://profi-filter.ru/hepa-filtry,1,25,Russia,Samara,ad,ya_undefined,,,,,,,0,0,0,,0,,,,HEPA_FVA_RSYA,16765442527,cpc,yandex_rsya,фильтр абсолютной фва,2,realme,rmx2021,chromemobile,9:21,1,720,1602,,
1749377615990640537,3157895394330148964,[3157895394330148964],2025-06-08,2025-06-08 13:13:34,1,https://profi-filter.ru/blog/filtry-m5-f5-i-f7-v-chyom-otlichie,https://profi-filter.ru/blog/filtry-m5-f5-i-f7-v-chyom-otlichie,1,0,Russia,Istra,organic,ya_undefined,,yandex,yandex_search,,https://yandex.ru/,,0,0,0,,0,,,,,,,,,2,apple,iPhone,chromemobile,9:21,1,1290,2796,,
17492200702259983,3163403617534214164,"[3163403617534214164,3163403130011123763,3163403445487534131,3163407116265848852,3163407338235756564]",2025-06-08,2025-06-08 19:03:42,0,https://profi-filter.ru/hepa-filtry,https://profi-filter.ru/hepa-filtry,1,19,Russia,Grozniy,ad,ya_direct,,,,,,74950785,4931621256,12241013294,ХЕПА / РСЯ,высокотемпературные фильтры,Высокотемпературные фильтры HEPA от Производителя,Context,com.paper.princess.dress.up.games,11,HEPA_VIGODNOE_PREDLOGENIE_RSYA,12241013294,cpc,yandex_rsya,---autotargeting,2,,k,miui,9:21,2,720,1640,,
1748426252613719978,3165227613300982094,"[3165227613300982094,3165231497822601550]",2025-06-08,2025-06-08 20:59:45,0,https://profi-filter.ru/hepa-filtry,https://profi-filter.ru/hepa-filtry,1,14,Russia,Stavropol,ad,ya_direct,,,,,,74950785,4931621258,12241013299,ХЕПА / РСЯ,фильтр повышенной производительности,Фильтры повышенной производительности от Производителя,Context,com.haokan.pictorial,11,HEPA_VIGODNOE_PREDLOGENIE_RSYA,12241013299,cpc,yandex_rsya,---autotargeting,2,realme,rmx3195,chromemobile,9:21,1,720,1600,,
1749104804753400623,3161232313002754165,"[3161232313002754165,3161265971611041853]",2025-06-08,2025-06-08 16:45:43,0,https://profi-filter.ru/filtry-vozdushnye-kartridzhnye,https://profi-filter.ru/filtry-vozdushnye-kartridzhnye,1,129,Russia,Rostov-na-Donu,ad,ya_direct,,,,,,700821026,5599193539,17091078085,ФВКАРТ_РСЯ,Производим_с_2009_ФВКАРТ_РСЯ,Text ad,Context,linkdesks.pop.bubblegames.bubbleshooter,phrase,FVKART_RSYA,17091078085,cpc,yandex_rsya,картриджные фильтры для воздуха,2,samsung,samsung sm-a032f,samsung_internet,9:21,0,720,1600,,
